Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.5.1.6	      CDG1TA63_125Z_NW_M9BZ_0_1_0__14		1												T:\Project\Cryer Malt\J200684 Semi Auto Bagging Line\6. Pneumatics\DOWNLOADS FROM SMC\CDG1TA63-125Z-NW-M9BZ\	CDG1TA63_125Z_NW_M9BZ_0_1_0__14	Default											
1.5.2	    OEM-AS2201F-02-08A		2	ELBOW SPEED CONTROL 8MM 1_4	REFER DATA SHEET	NATURAL			PURCHASE			FQ			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-AS2201F-02-08A	Default	SMC	7.64	24/08/2021	https://www.smc.eu/en-eu/products/elbow-as-2-1f-a~128718~cfg?partNumber=AS2201F-02-08A&openCad=true&productId=undefined&seriesCadOrigin=pc&seriesSelectedGroup=&seriesCadPartNumber=			1038	Pneumatics		YES	AS2201F-02-08A
1.6	  OEM-CQ-C063	-	1	DOUBLE CLEVIS PIVOT BRACKET 63	MS - GR250	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-CQ-C063	Default		0.5	24/10/2019	https://www.smcpneumatics.com/Part-Builder-Products_ep_2414-1.html?CA2-D04	SMC		1038	Pneumatics		YES	CQ-C063
1.7	  OEM-E3FA-TP21-D	1	2	SENSOR THROUGH BEAM - RECEIVER	AS PER BOM	NATURAL			PURCHASE			DMG	 		C:\AWS PDM\OEM\1046. Sensors\	OEM-E3FA-TP21-D	Default	OMRON	11.32	02/10/2020				1046	Sensors		YES	E3FA-TP21-D
1.8	  AWS-A-008173	1	2	SENSOR BRACKET HOLDER - EXTENDED	SS304	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\007000-014000\	AWS-A-008173	Default		0.0	07/04/2021						2	-	
1.8.1	    		1	Sheet	SS304												Default		0.0							2		
1.9	  AWS-Z-010252		1	SINGLE VALVE MANIFOLD WITH FITTINGS	PER BOM	NATURAL			ASSEMBLY						C:\AWS PDM\AWS\007000-014000\	AWS-Z-010252	Default		0.2	24/08/2021							-	
1.9.1	    OEM-SY5100-5U1-W7-02		1	SINGLE VALVE MANIFOLD	PER DATASHEET	NATURAL			PURCHASE			FQ			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-SY5100-5U1-W7-02	Default	SMC	0.1	24/08/2021			W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\SY5100-5U1-W7-02.pdf	1038	Pneumatics		YES	SY5100-5U1-W7-02
1.9.2	    OEM-KQ2S10-02NS		3	SOCKET 10MM 1_4	REFER DATA SHEET	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-KQ2S10-02NS	Default	SMC	2.57	24/08/2021				1038	Pneumatics		YES	KQ2S10-02NS
1.9.3	    OEM-KQ2S08-02NS		2	SOCKET 8MM 1_4	REFER DATA SHEET	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-KQ2S08-02NS	Default	SMC	2.40	24/08/2021			https://www.smc.eu/en-eu/products/hexagon-socket-head-male-connector-kq2s~159161~cfg?partNumber=KQ2S08-02NS	1038	Pneumatics		YES	KQ2S08-02NS
1.9.4	    OEM-AN20-C10		2	SILENCER 10MM	REFER DATA SHEET	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-AN20-C10	Default	SMC	0.0	23/08/2021			W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\AN20-C10.pdf	1038	Pneumatics		-	AN20-C10
1.10	  AWS-Z-010405		2	LIFTER LEG ROLLER ASSY	AS PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-010405	Default		2.2	08/09/2021							-	
1.10.1	    AWS-A-010406		1	LIFTER LEG ROLLER ASSY	MS - GR250	ZINC			MACHINE			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010406	Default		0.8	8/09/2021							-	
1.10.2	    AWS-A-010404		2	LIFTER LEG ROLLER	SS304	NATURAL			MACHINE			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010404	Default		0.7	8/09/2021							-	
1.10.3	    AWS-A-010407		2	LIFTER LEG ROLLER ASSY	UHMWPE	NATURAL			PROFILE CUT			FQ		False	C:\AWS PDM\AWS\007000-014000\	AWS-A-010407	Default		0.0	8/09/2021							-	
1.10.4	    OEM-PAP 2525 P10	-	2	Permaglide Bush - Metric - PAP 2525 P10	REFER DATA SHEET	NATURAL			PURCHASE			MF			C:\AWS PDM\OEM\1051. Transmission\	OEM-PAP-P10	PAP 2525 P10	BEARING WHOLESALERS	0.00	23/04/2019				1051	Transmission		YES	PAP-P10
